county_l1,town
Roscommon,Ballinaheglish-Ballymacurley
Roscommon,Ballinameen
Roscommon,Ballinlough
Roscommon,Ballintubber
Roscommon,Ballintubber-Roscommon
Roscommon,Ballyfarnon
Roscommon,Ballyforan
Roscommon,Ballyleague
Roscommon,Bealnamulla
Roscommon,Boyle
Roscommon,Brideswell
Roscommon,Castlecoote
Roscommon,Castleplunkett
Roscommon,Castlerea
Roscommon,Cloonfad
Roscommon,Cloontuskert
Roscommon,Cootehall
Roscommon,Cortober
Roscommon,Croghan
Roscommon,Curraghboy
Roscommon,Dysart
Roscommon,Elphin
Roscommon,Four Roads-Tisrara
Roscommon,Frenchpark
Roscommon,Gortaganny
Roscommon,Gorthaganny
Roscommon,Granlahan
Roscommon,Keadue
Roscommon,Kilteevan
Roscommon,Knockcroghery
Roscommon,Knockvicar
Roscommon,Lecarrow
Roscommon,Lisacul
Roscommon,Loughglynn
Roscommon,Loughlynn
Roscommon,Monksland
Roscommon,Moore
Roscommon,Mount Talbot
Roscommon,Portrunny
Roscommon,Rooskey
Roscommon,Roosky
Roscommon,Roscommon
Roscommon,Roscommon Town
Roscommon,Strokestown
Roscommon,Tarmonbarry
Roscommon,Tisrara/Four Roads
Roscommon,Tulsk
Sligo,Aclare
Sligo,Ballinacarrow
Sligo,Ballinafad
Sligo,Ballintogher
Sligo,Ballisodare
Sligo,Ballygawley
Sligo,Ballymote
Sligo,Banada
Sligo,Banada Tourlestrane
Sligo,Bellaghy
Sligo,Bunanadden
Sligo,Bunnanaddan
Sligo,Carney
Sligo,Carraroe
Sligo,Castlebaldwin
Sligo,Cloonacool
Sligo,Collooney
Sligo,Coney Island
Sligo,Coolaney
Sligo,Coolaney/Rockfield-Cúil
Sligo,Culfadda
Sligo,Dromore West
Sligo,Drumcliffe Rathcormac
Sligo,Drumcliffe-
Sligo,Easkey
Sligo,Enniscrone
Sligo,Grange
Sligo,Gurteen
Sligo,Keash
Sligo,Mullaghmore
Sligo,Rathcormac
Sligo,Rathlee
Sligo,Riverstown
Sligo,Rosses Point
Sligo,Sligo
Sligo,Strandhill
Sligo,Tubbercurry
Tipperary,Aglish
Tipperary,Anacarty
Tipperary,Annacarty
Tipperary,Ardcroney
Tipperary,Ardfinnan
Tipperary,Ballina
Tipperary,Ballina-Tipperary Nth
Tipperary,Ballinahinch
Tipperary,Ballinderry
Tipperary,Ballingarry (North)
Tipperary,Ballingarry (South)
Tipperary,Ballingarry-Tippeary South
Tipperary,Ballingarry-Tipperary N
Tipperary,Ballingarry-Tipperary North
Tipperary,Ballingarry-Tipperary South
Tipperary,Ballinure
Tipperary,Ballyboy
Tipperary,Ballycahill
Tipperary,Ballycommon
Tipperary,Ballycommon Tidy Village
Tipperary,Ballylooby
Tipperary,Ballyneale
Tipperary,Ballynonty
Tipperary,Ballypatrick
Tipperary,Ballyporeen
Tipperary,Ballysloe
Tipperary,Bansha
Tipperary,Birdhill
Tipperary,Boherlahan
Tipperary,Borrisokane
Tipperary,Borrisoleigh
Tipperary,Burncourt
Tipperary,Cahir
Tipperary,Capparoe
Tipperary,Cappawhite
Tipperary,Carrick-On-Suir
Tipperary,Carrig
Tipperary,Carrig Village
Tipperary,Cashel
Tipperary,Castleiney
Tipperary,Clogheen
Tipperary,Clonakenny
Tipperary,Cloneen
Tipperary,Clonmel
Tipperary,Clonmore
Tipperary,Clonoulty
Tipperary,Clonoulty Rossmore
Tipperary,Cloughjordan
Tipperary,Coolbawn Quay
Tipperary,Cullen
Tipperary,Donohill
Tipperary,Drangan
Tipperary,Drangan Village
Tipperary,Drombane
Tipperary,Dromineer
Tipperary,Dualla
Tipperary,Dundrum
Tipperary,Emly
Tipperary,Fethard
Tipperary,Garrykennedy
Tipperary,Glengoole
Tipperary,Goatenbridge
Tipperary,Golden
Tipperary,Gortnahoe
Tipperary,Grange
Tipperary,Grangemockler
Tipperary,Hollyford
Tipperary,Holycross
Tipperary,Inch
Tipperary,Inch-Bouladuff-Ragg
Tipperary,Inch-Bouladuff-Ragg/An
Tipperary,Kilbarron
Tipperary,Kilbarron Village
Tipperary,Kilcash
Tipperary,Kilcommon
Tipperary,Kilfeacle
Tipperary,Killea
Tipperary,Killenaule
Tipperary,Killoscully
Tipperary,Killusty
Tipperary,Kilross
Tipperary,Kilsheelan
Tipperary,Knockavilla
Tipperary,Lattin
Tipperary,Lisvernane
Tipperary,Littleton
Tipperary,Littleton Village
Tipperary,Lorrha
Tipperary,Loughmore
Tipperary,Marlfield
Tipperary,Marlfield Village
Tipperary,Moyne
Tipperary,Mullinahone
Tipperary,Nenagh
Tipperary,New Inn
Tipperary,Newcastle
Tipperary,Newcastle-Tipperary Sth
Tipperary,Newport
Tipperary,Newport-Tipperary Nth
Tipperary,Nine Mile House
Tipperary,Portroe
Tipperary,Puckane
Tipperary,Rathcabbin
Tipperary,Rearcross
Tipperary,Rearcross Crois Na Rae
Tipperary,Riverstown-Killeen
Tipperary,Riverstown-Killeen/Baile
Tipperary,Roscrea
Tipperary,Rosegreen
Tipperary,Rossadrehid
Tipperary,Rossmore
Tipperary,Shallee
Tipperary,Shevry
Tipperary,Silvermines
Tipperary,Templederry
Tipperary,Templemore
Tipperary,Templetuohy
Tipperary,Terryglass
Tipperary,The Commons
Tipperary,Thurles
Tipperary,Tipperary
Tipperary,Toomevara
Tipperary,Toor
Tipperary,Two-Mile-
Tipperary,Two-Mile-Borris
Tipperary,Upperchurch
Waterford,Aglish Village
Waterford,Annestown
Waterford,Ardmore
Waterford,Ballybricken
Waterford,Ballyduff Lower
Waterford,Ballyduff Upper
Waterford,Ballymacarbarry
Waterford,Ballymacarberry
Waterford,Ballymacarbry
Waterford,Bunmahon
Waterford,Cappoquin
Waterford,Cheekpoint
Waterford,Clashmore
Waterford,Clonea-Power
Waterford,Crooke
Waterford,Dungarvan
Waterford,Dunhill
Waterford,Dunmore East
Waterford,Fenor
Waterford,Ferrybank
Waterford,Kilmacthomas
Waterford,Leamybrien
Waterford,Lismore
Waterford,New Street Gardens
Waterford,Passage East
Waterford,Passage East And Crook
Waterford,Portlaw
Waterford,Rathgormack
Waterford,Stradbally
Waterford,Stradbally-Waterford
Waterford,Tallow
Waterford,Tramore
Waterford,Villierstown
Waterford,Waterford City
Westmeath,Athlone
Westmeath,Ballinagore
Westmeath,Ballinahown
Westmeath,Ballinahown Village
Westmeath,Ballinalack
Westmeath,Ballykeeran
Westmeath,Ballymore
Westmeath,Ballynacargy
Westmeath,Baylin
Westmeath,Castledaly
Westmeath,Castlepollard
Westmeath,Castletown Geoghegan
Westmeath,Castletown-Geoghegan
Westmeath,Clonmellon
Westmeath,Collinstown
Westmeath,Coole
Westmeath,Crookedwood
Westmeath,Delvin
Westmeath,Drumcree
Westmeath,Dysart
Westmeath,Dysart-Westmeath
Westmeath,Finea
Westmeath,Finea _Fiodh An Átha
Westmeath,Glasson
Westmeath,Glasson Village
Westmeath,Horseleap
Westmeath,Kilbeggan
Westmeath,Killucan
Westmeath,Killucan Rathwire
Westmeath,Kinnegad
Westmeath,Loughanavalley
Westmeath,Loughnavalley
Westmeath,Milltownpass
Westmeath,Moate
Westmeath,Mount Temple
Westmeath,Moyvore
Westmeath,Mullingar
Westmeath,Multyfarnham
Westmeath,Raharney
Westmeath,Raharney -Ráth Áirne
Westmeath,Rathowen
Westmeath,Rathwire
Westmeath,Rochfortbridge
Westmeath,Rosemount
Westmeath,Streamstown
Westmeath,Streete
Westmeath,Tang
Westmeath,Tubberclair
Westmeath,Tyrrellspass
Wexford,Adamstown
Wexford,Askamore
Wexford,Ballycanew
Wexford,Ballycullane
Wexford,Ballyduff
Wexford,Ballyfad
Wexford,Ballygarrett
Wexford,Ballyhack
Wexford,Ballyhack / Arthurstown
Wexford,Ballymoney Lower
Wexford,Ballymurn
Wexford,Blackwater
Wexford,Bree
Wexford,Bridgetown
Wexford,Bunclody
Wexford,Camolin
Wexford,Campile
Wexford,Carrig-On-Bannow
Wexford,Castlebridge
Wexford,Clonroche
Wexford,Coolgreany
Wexford,Coolgreany-An
Wexford,Courtnacuddy
Wexford,Courtown Harbour
Wexford,Craanford
Wexford,Duncannon
Wexford,Duncormick
Wexford,Enniscorthy
Wexford,Ferns
Wexford,Fethard On Sea
Wexford,Fethard-On-Sea
Wexford,Foulksmills
Wexford,Gorey
Wexford,Hollyfort
Wexford,Kilanerin
Wexford,Killanne
Wexford,Kilmore Quay
Wexford,Kilmuckridge
Wexford,Kilrane
Wexford,Kilrane-Rosslare Harbour
Wexford,Marshalstown
Wexford,Monageer
Wexford,Monaseed
Wexford,New Ross
Wexford,Newbawn
Wexford,Oulart
Wexford,Oylegate
Wexford,Poulpeasty
Wexford,Ramsgrange
Wexford,Riverchapel
Wexford,Rosslare
Wexford,Rosslare Harbour
Wexford,Saltmills
Wexford,Taghmon
Wexford,The Harrow
Wexford,Wellington Bridge
Wexford,Wellingtonbridge
Wexford,Wexford
Wicklow,Arklow
Wicklow,Ashford
Wicklow,Aughrim
Wicklow,Avoca
Wicklow,Ballycoog
Wicklow,Ballycoogue
Wicklow,Baltinglass
Wicklow,Blessington
Wicklow,Bray
Wicklow,Carnew
Wicklow,Coolboy
Wicklow,Delgany
Wicklow,Donard
Wicklow,Dunlavin
Wicklow,Enniskerry
Wicklow,Glenealy
Wicklow,Grange Con
Wicklow,Grangecon
Wicklow,Greystones
Wicklow,Hollywood Village
Wicklow,Kilcoole
Wicklow,Kilpedder
Wicklow,Kiltegan
Wicklow,Knockananna
Wicklow,Lacken
Wicklow,Laragh
Wicklow,Laragh & Glendalough
Wicklow,Laragh&Glendalough-An
Wicklow,Laragh\Glendalough
Wicklow,Manor Kilbride
Wicklow,Newcastle
Wicklow,Newcastle-Wicklow
Wicklow,Newtownmountkennedy
Wicklow,Rathdangan
Wicklow,Rathdrum
Wicklow,Rathnew
Wicklow,Redcross
Wicklow,Roundwood
Wicklow,Shillelagh
Wicklow,Stratford-On-Slaney
Wicklow,Tinahely
Wicklow,Wicklow
Wicklow,Wicklow Town
